,회사명,거래소코드,회계년도,회생여부,이자보상배율(이자비용)
480,지에스건설(주),006360,2013.0,0,-7.14
481,지에스건설(주),006360,2014.0,1,0.44
482,(주)대구백화점,006370,2018.0,0,-3.05
483,(주)카프로,006380,2012.0,0,-6.67
484,(주)카프로,006380,2013.0,0,-18.79
485,(주)카프로,006380,2014.0,0,-15.05
486,(주)카프로,006380,2015.0,0,-7.89
487,(주)카프로,006380,2016.0,1,-3.1
488,한일현대시멘트(주),006390,2011.0,0,0.28
489,한일현대시멘트(주),006390,2012.0,1,0.0
490,삼성SDI(주),006400,2013.0,1,-0.83
491,삼성SDI(주),006400,2015.0,0,-1.1
492,삼성SDI(주),006400,2016.0,1,-24.34
493,(주)인스코비,006490,2011.0,0,-24.34
494,(주)인스코비,006490,2012.0,0,-24.34
495,(주)인스코비,006490,2013.0,0,-24.34
496,(주)인스코비,006490,2014.0,0,-24.34
497,(주)인스코비,006490,2015.0,0,-4.39
498,(주)인스코비,006490,2016.0,0,-1.74
499,(주)인스코비,006490,2017.0,1,-1.45
500,대림통상(주),006570,2011.0,0,0.71
501,대림통상(주),006570,2012.0,0,-0.1
502,대림통상(주),006570,2013.0,0,0.23
503,대림통상(주),006570,2014.0,0,0.61
504,대림통상(주),006570,2015.0,1,-0.61
505,대림통상(주),006570,2017.0,0,0.65
506,대림통상(주),006570,2018.0,0,-0.43
507,대양제지공업(주),006580,2015.0,1,-0.86
508,대한유화(주),006650,2012.0,1,-0.39
509,삼성공조(주),006660,2018.0,0,-4.27
510,(주)서부티엔디,006730,2011.0,0,0.88
511,(주)서부티엔디,006730,2012.0,0,0.7
512,(주)서부티엔디,006730,2013.0,1,0.9
513,(주)서부티엔디,006730,2017.0,0,-1.03
514,(주)서부티엔디,006730,2018.0,0,0.0
515,영풍제지(주),006740,2015.0,1,-5.97
516,신송홀딩스(주),006880,2016.0,0,-8.42
517,신송홀딩스(주),006880,2017.0,0,-0.92
518,신송홀딩스(주),006880,2018.0,0,-2.43
519,보성파워텍(주),006910,2011.0,1,-1.79
520,보성파워텍(주),006910,2013.0,0,0.65
521,보성파워텍(주),006910,2014.0,1,-2.57
522,보성파워텍(주),006910,2016.0,0,-4.93
523,보성파워텍(주),006910,2017.0,0,-23.59
524,보성파워텍(주),006910,2018.0,0,-1.39
